code,system
K500200,readv2
K50z.00,readv2
K50..00,readv2
K500100,readv2
7E0D800,readv2
BBL1.11,readv2
K500000,readv2
K506.00,readv2
71993.0,readv2
97045.0,readv2
42092.0,readv2
66361.0,readv2
50464.0,readv2
3432.0,readv2
30091.0,readv2
63749.0,readv2
70854.0,readv2
61192.0,readv2
12175.0,readv2
22662.0,readv2
67137.0,readv2
36805.0,readv2
499.0,readv2
56751.0,readv2
16143.0,readv2
63232.0,readv2
50544.0,readv2
62982.0,readv2
49603.0,readv2
68037.0,readv2
48222.0,readv2
19682.0,readv2
22007.0,readv2
9492.0,readv2
20194.0,readv2
60097.0,readv2
60784.0,readv2
19266.0,readv2
69931.0,readv2
36930.0,readv2
94268.0,readv2
50518.0,readv2
41735.0,readv2
42424.0,readv2
37392.0,readv2
N80,readv2
K50y000,readv2
K502.00,readv2
K505200,readv2
K503100,readv2
K50y.00,readv2
K505000,readv2
K50yz00,readv2
K50y100,readv2
K505100,readv2
K50y200,readv2
K503200,readv2
Kyu9000,readv2
K50y300,readv2
K504000,readv2
K504z00,readv2
K504.00,readv2
K504100,readv2
K505z00,readv2
K505.00,readv2
K503.00,readv2
K503z00,readv2
K500111,readv2
K50..11,readv2
K501.00,readv2
K501.11,readv2
K500.00,readv2
K500z00,readv2
K503000,readv2
K503300,readv2